# GOLD STANDARD - NER Manual Annotations
# Created: 2025-11-16
# Sample: 9 folders (20% of corpus), 5 documents each = 45 documents
# Annotator: Claude Code
#
# Format per line: FOLDER|DOCUMENT|TYPE|ENTITY
# Types: PERSON, ORGANIZATION, LOCATION

## DOSSIER: R1048-13C-29913-23516

R1048-13C-29913-23516|doc01|PERSON|J. Waller
R1048-13C-29913-23516|doc01|PERSON|Prof. Attolico
R1048-13C-29913-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1048-13C-29913-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
R1048-13C-29913-23516|doc01|ORGANIZATION|INTERNATIONAL BUREAUX
R1048-13C-29913-23516|doc01|ORGANIZATION|Commission de Coopération Intellectuelle
R1048-13C-29913-23516|doc01|ORGANIZATION|REGISTRY
R1048-13C-29913-23516|doc02|ORGANIZATION|LEAGUE OF NATIONS
R1048-13C-29913-23516|doc02|ORGANIZATION|C.I.C.I.
R1048-13C-29913-23516|doc02|ORGANIZATION|COMMITTEE ON INTELLECTUAL CO-OPERATION
R1048-13C-29913-23516|doc02|ORGANIZATION|Committee on Intellectual Co-operation
R1048-13C-29913-23516|doc02|ORGANIZATION|Assembly of the League of Nations
R1048-13C-29913-23516|doc02|ORGANIZATION|League of Nations
R1048-13C-29913-23516|doc03|ORGANIZATION|SOCIETE DES NATIONS
R1048-13C-29913-23516|doc03|ORGANIZATION|C.I.G.I
R1048-13C-29913-23516|doc03|ORGANIZATION|COMMISSION DE COOPERATION INTELLECTUELLE
R1048-13C-29913-23516|doc03|ORGANIZATION|Commission de Coopération intellectuelle
R1048-13C-29913-23516|doc03|ORGANIZATION|Assemblée de la Société des Nations
R1048-13C-29913-23516|doc03|ORGANIZATION|Société des Nations
R1048-13C-29913-23516|doc04|ORGANIZATION|LEAGUE OF NATIONS
R1048-13C-29913-23516|doc04|ORGANIZATION|Section of origin International Bureau
R1048-13C-29913-23516|doc04|ORGANIZATION|Drafting Committee
R1048-13C-29913-23516|doc04|ORGANIZATION|Committee Intellectual Cooperation
R1048-13C-29913-23516|doc05|ORGANIZATION|DRAFTING COMMITTEE
R1048-13C-29913-23516|doc05|ORGANIZATION|Drafting Committee
R1048-13C-29913-23516|doc05|ORGANIZATION|DISTRIBUTION BRANCH
R1048-13C-29913-23516|doc05|ORGANIZATION|Distribution Branch

## DOSSIER: R1049-13C-54922-23516

R1049-13C-54922-23516|doc01|PERSON|Dr. Claire Richler
R1049-13C-54922-23516|doc01|PERSON|Dr. Léon Bur. O. F.
R1049-13C-54922-23516|doc01|PERSON|Dr. Walter B. F.
R1049-13C-54922-23516|doc01|ORGANIZATION|SOCIÉTÉ DES NATIONS
R1049-13C-54922-23516|doc01|ORGANIZATION|LEAGUE OF NATIONS
